object name,library name,text,rodata,data,bss,code,flash,ram
curl_range.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,272,144,0,0,416,416,0
dotdot.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,356,28,0,0,384,384,0
dynbuf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,540,0,0,0,540,540,0
easy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,690,147,20,4,837,857,24
escape.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,286,0,0,0,286,286,0
fileinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,52,0,0,0,52,52,0
ftp.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,12764,4074,0,0,16838,16838,0
ftplistparser.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2492,54,0,0,2546,2546,0
getenv.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,32,0,0,0,32,32,0
getinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1988,59,0,0,2047,2047,0
hash.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,656,0,0,0,656,656,0
hostip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1898,404,0,0,2302,2302,0
hostip6.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,252,33,0,0,285,285,0
http_proxy.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2,0,0,0,2,2,0
if2ip.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,138,0,0,0,138,138,0
inet_ntop.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,464,24,0,0,488,488,0
inet_pton.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,440,45,0,0,485,485,0
libssh2.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,11466,5622,0,0,17088,17088,0
llist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,192,0,0,0,192,192,0
mbedtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3158,1466,0,0,4624,4624,0
mprintf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3500,91,0,0,3591,3591,0
multi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,8562,1077,0,0,9639,9639,0
nonblock.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,28,0,0,0,28,28,0
parsedate.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1110,1140,0,0,2250,2250,0
pingpong.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1338,239,0,0,1577,1577,0
progress.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1746,19,0,0,1765,1765,0
quectel_curl_io.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,306,105,0,4,411,411,4
select.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,872,0,0,0,872,872,0
sendf.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1280,183,0,0,1463,1463,0
setopt.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,6780,1,0,0,6781,6781,0
share.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,72,0,0,0,72,72,0
slist.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,144,0,0,0,144,144,0
socketpair.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,6,0,0,0,6,6,0
socks.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,2926,2743,0,0,5669,5669,0
speedcheck.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,188,77,0,0,265,265,0
splay.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,624,32,0,0,656,656,0
strcase.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,166,0,0,0,166,166,0
strdup.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,44,0,0,0,44,44,0
strerror.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,152,3742,0,0,3894,3894,0
strtoofft.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,112,0,0,0,112,112,0
timeval.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,254,0,0,0,254,254,0
transfer.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4126,1067,0,0,5193,5193,0
url.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,10814,1753,0,0,12567,12567,0
